Study Name,Respondent Name,Gender,Age,Group,Type,Label,Start (ms),Duration (ms),Parent Stimulus,Count Frames,Anger Threshold,Anger Frames >= Threshold,Anger Time Percentage,Sadness Threshold,Sadness Frames >= Threshold,Sadness Time Percentage,Disgust Threshold,Disgust Frames >= Threshold,Disgust Time Percentage,Joy Threshold,Joy Frames >= Threshold,Joy Time Percentage,Surprise Threshold,Surprise Frames >= Threshold,Surprise Time Percentage,Fear Threshold,Fear Frames >= Threshold,Fear Time Percentage,Contempt Threshold,Contempt Frames >= Threshold,Contempt Time Percentage,Engagement Threshold,Engagement Frames >= Threshold,Engagement Time Percentage,Attention Threshold,Attention Frames >= Threshold,Attention Time Percentage,Positive Threshold,Positive Frames >= Threshold,Positive Time Percentage,Negative Threshold,Negative Frames <= Threshold,Negative Time Percentage,Neutral Threshold,Neutral Frames Between Threshold,Neutral Time Percentage,Brow Furrow Threshold,Brow Furrow Frames >= Threshold,Brow Furrow Time Percentage,Brow Raise Threshold,Brow Raise Frames >= Threshold,Brow Raise Time Percentage,Lip Corner Depressor Threshold,Lip Corner Depressor Frames >= Threshold,Lip Corner Depressor Time Percentage,Smile Threshold,Smile Frames >= Threshold,Smile Time Percentage,Inner Brow Raise Threshold,Inner Brow Raise Frames >= Threshold,Inner Brow Raise Time Percentage,Eye Closure Threshold,Eye Closure Frames >= Threshold,Eye Closure Time Percentage,Nose Wrinkle Threshold,Nose Wrinkle Frames >= Threshold,Nose Wrinkle Time Percentage,Upper Lip Raise Threshold,Upper Lip Raise Frames >= Threshold,Upper Lip Raise Time Percentage,Lip Suck Threshold,Lip Suck Frames >= Threshold,Lip Suck Time Percentage,Lip Press Threshold,Lip Press Frames >= Threshold,Lip Press Time Percentage,Mouth Open Threshold,Mouth Open Frames >= Threshold,Mouth Open Time Percentage,Chin Raise Threshold,Chin Raise Frames >= Threshold,Chin Raise Time Percentage,Smirk Threshold,Smirk Frames >= Threshold,Smirk Time Percentage,Lip Pucker Threshold,Lip Pucker Frames >= Threshold,Lip Pucker Time Percentage,Cheek Raise Threshold,Cheek Raise Frames >= Threshold,Cheek Raise Time Percentage,Dimpler Threshold,Dimpler Frames >= Threshold,Dimpler Time Percentage,Eye Widen Threshold,Eye Widen Frames >= Threshold,Eye Widen Time Percentage,Lid Tighten Threshold,Lid Tighten Frames >= Threshold,Lid Tighten Time Percentage,Lip Stretch Threshold,Lip Stretch Frames >= Threshold,Lip Stretch Time Percentage,Jaw Drop Threshold,Jaw Drop Frames >= Threshold,Jaw Drop Time Percentage
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo-product02,114282,5992,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,2,2.22,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo-product03,120323,5998,,89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,100,30,0,0,-30,0,0,-30|30,89,100,30,0,0,30,3,3.37,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo-product04,126568,6001,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Survey-FavoriteProduct,132665,9761,,147,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,146,99.32,30,0,0,-30,0,0,-30|30,146,99.32,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Instructions-Part-3,142515,9787,,147,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,146,99.32,30,0,0,-30,0,0,-30|30,146,99.32,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,video01 - LOOK,152381,64481,,966,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,87,9.01,30,965,99.9,30,0,0,-30,0,0,-30|30,965,99.9,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,7,0.72,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,video02 - Pinarello,216922,60616,,908,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,908,100,30,0,0,-30,0,0,-30|30,908,100,30,0,0,30,22,2.42,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,video03 - Trek,277608,70193,,1052,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,15,1.43,30,1052,100,30,0,0,-30,15,1.43,-30|30,1037,98.57,30,16,1.52,30,12,1.14,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,17,1.62,30,16,1.52,30,0,0,30,9,0.86,30,0,0,30,0,0,30,0,0,30,14,1.33,30,55,5.23,30,0,0,30,4,0.38,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,video04 - Specialized,348025,60173,,901,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,27,3,30,900,99.89,30,0,0,-30,28,3.11,-30|30,872,96.78,30,0,0,30,0,0,30,7,0.78,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,29,3.22,30,28,3.11,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,28,3.11,30,0,0,30,0,0,30,11,1.22,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Survey-FavoriteVideoAd,408228,13975,,209,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,209,100,30,0,0,-30,0,0,-30|30,209,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Survey-Starting-Agreement,363,14184,,212,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,7,3.3,30,209,98.58,30,0,0,-30,0,0,-30|30,209,98.58,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,1.42,30,0,0,30,0,0,30,0,0,30,20,9.43,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,6,2.83,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Instructions-Part-1,14697,5930,,89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,88,98.88,30,0,0,-30,0,0,-30|30,88,98.88,30,0,0,30,18,20.22,30,0,0,30,0,0,30,0,0,30,4,4.49,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,3.37,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo01,20678,6002,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,1,1.11,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,13,14.44,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo02_name-white,26719,5989,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,10,11.11,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,4,4.44
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo03_name-white,32756,5998,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo04_name-white,39032,5988,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Survey-FavoriteBrand,45258,13518,,203,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,15,7.39,30,203,100,30,0,0,-30,0,0,-30|30,203,100,30,0,0,30,9,4.43,30,0,0,30,0,0,30,0,0,30,1,0.49,30,0,0,30,0,0,30,0,0,30,0,0,30,23,11.33,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,1,0.49
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Survey-BrandAwareness,58884,6804,,102,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,102,100,30,0,0,-30,0,0,-30|30,102,100,30,0,0,30,18,17.65,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Instructions-Part-2,65798,5244,,78,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,78,100,30,0,0,-30,0,0,-30|30,78,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo-product01,71109,5988,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,3.33,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo-product02,77145,6002,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,16,17.78,30,0,0,30,0,0,30,0,0,30,1,1.11,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo-product03,83215,5994,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,5,5.56,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,36,40,30,0,0,30,0,0,30,0,0,30,3,3.33,30,0,0,30,0,0,30,0,0,30,0,0,30,6,6.67,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,logo-product04,89453,5988,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,98.89,30,0,0,-30,0,0,-30|30,89,98.89,30,0,0,30,20,22.22,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Survey-FavoriteProduct,95556,11079,,166,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,166,100,30,0,0,-30,0,0,-30|30,166,100,30,0,0,30,38,22.89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Instructions-Part-3,106734,7162,,108,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,107,99.07,30,0,0,-30,0,0,-30|30,107,99.07,30,0,0,30,4,3.7,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,video01 - LOOK,113958,64677,,969,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,8,0.83,30,969,100,30,0,0,-30,0,0,-30|30,969,100,30,0,0,30,195,20.12,30,0,0,30,0,0,30,8,0.83,30,45,4.64,30,0,0,30,0,0,30,0,0,30,0,0,30,2,0.21,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,video02 - Pinarello,178701,60622,,908,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,14,1.54,30,908,100,30,0,0,-30,0,0,-30|30,908,100,30,0,0,30,214,23.57,30,0,0,30,0,0,30,0,0,30,5,0.55,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,video03 - Trek,239393,69995,,1049,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,1049,100,30,0,0,-30,0,0,-30|30,1049,100,30,0,0,30,53,5.05,30,0,0,30,0,0,30,0,0,30,9,0.86,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,video04 - Specialized,309593,60166,,901,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,901,100,30,0,0,-30,0,0,-30|30,901,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,2,0.22,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P07,Female,13,G1,Stimulus,Survey-FavoriteVideoAd,369814,18368,,275,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,36,13.09,30,275,100,30,0,0,-30,0,0,-30|30,275,100,30,0,0,30,101,36.73,30,0,0,30,0,0,30,1,0.36,30,62,22.55,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P06,Female,17,G1,Stimulus,Survey-Starting-Agreement,207,5030,,76,30,0,0,30,0,0,30,0,0,30,25,32.89,30,10,13.16,30,0,0,30,0,0,30,45,59.21,30,60,78.95,30,25,32.89,-30,0,0,-30|30,35,46.05,30,0,0,30,27,35.53,30,0,0,30,27,35.53,30,39,51.32,30,28,36.84,30,0,0,30,0,0,30,0,0,30,25,32.89,30,5,6.58,30,0,0,30,0,0,30,2,2.63,30,0,0,30,0,0,30,0,0,30,0,0,30,9,11.84,30,11,14.47
Study-USJ-BU-001,P06,Female,17,G1,Stimulus,Instructions-Part-1,5325,11359,,170,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,170,100,30,0,0,-30,4,2.35,-30|30,166,97.65,30,0,0,30,0,0,30,0,0,30,0,0,30,130,76.47,30,14,8.24,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,37,21.76,30,0,0,30,0,0,30,13,7.65,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P06,Female,17,G1,Stimulus,logo01,16736,5984,,90,30,0,0,30,0,0,30,0,0,30,42,46.67,30,0,0,30,0,0,30,0,0,30,44,48.89,30,90,100,30,42,46.67,-30,1,1.11,-30|30,47,52.22,30,0,0,30,0,0,30,0,0,30,44,48.89,30,90,100,30,15,16.67,30,0,0,30,0,0,30,0,0,30,20,22.22,30,7,7.78,30,0,0,30,0,0,30,25,27.78,30,21,23.33,30,2,2.22,30,0,0,30,0,0,30,35,38.89,30,0,0
Study-USJ-BU-001,P06,Female,17,G1,Stimulus,logo02_name-white,22776,5999,,89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,100,30,0,0,-30,0,0,-30|30,89,100,30,0,0,30,0,0,30,0,0,30,0,0,30,78,87.64,30,8,8.99,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P06,Female,17,G1,Stimulus,logo03_name-white,28824,5998,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,98.89,30,0,0,-30,0,0,-30|30,89,98.89,30,0,0,30,6,6.67,30,0,0,30,0,0,30,79,87.78,30,4,4.44,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
