Stimulus Name,Respondent Name,Gender,Age,Group,Fixation Number(per AOI),Fixation Centroid X,Fixation Centroid Y,Fixation StartMs,Duration Ms,AOI Label,Fixation Sequence(Across AOIs)
Survey-Starting-Agreement,P00,Male,47,G1,135,587.75,652.4375,33128.0841,133.238800000006,N/A,135
Survey-Starting-Agreement,P00,Male,47,G1,136,733.3,587.22,33311.28705,120.345149999994,N/A,136
Survey-Starting-Agreement,P01,Male,32,G1,1,1115875,576125,65.0487,66.6191,N/A,1
Survey-Starting-Agreement,P01,Male,32,G1,2,1115.61111111111,555.055555555556,164.9788,149.89345,N/A,2
Survey-Starting-Agreement,P01,Male,32,G1,3,954.0625,780.3125,364.83375,133.23645,N/A,3
Survey-Starting-Agreement,P01,Male,32,G1,4,629.547619047619,837.714285714286,597.99855,349.74815,N/A,4
Survey-Starting-Agreement,P01,Male,32,G1,5,891.95,847.55,997711,166.5489,N/A,5
Survey-Starting-Agreement,P01,Male,32,G1,6,1124.4375,813.1875,1264.1863,266.4751,N/A,6
Survey-Starting-Agreement,P01,Male,32,G1,7,823.722222222222,845.222222222222,1580.6255,149.8925,N/A,7
Survey-Starting-Agreement,P01,Male,32,G1,8,702.461538461539,845.346153846154,1780.4816,216.51095,N/A,8
Survey-Starting-Agreement,P01,Male,32,G1,9,527.833333333333,842.388888888889,2046.95625,149.8923,N/A,9
Survey-Starting-Agreement,P01,Male,32,G1,10,942.173913043478,841.260869565218,2230.1583,383.0587,N/A,10
Survey-Starting-Agreement,P01,Male,32,G1,11,722.55,399.05,3395.9859,166.547849999999,N/A,11
Survey-Starting-Agreement,P01,Male,32,G1,12,312.541666666667,148.583333333333,3595.84285,199.85535,N/A,12
Survey-Starting-Agreement,P01,Male,32,G1,13,168.9,172,3829.0079,83.2732000000005,N/A,13
Survey-Starting-Agreement,P01,Male,32,G1,14,391.055555555556,68.8888888888889,3962.2452,149.89285,N/A,14
Survey-Starting-Agreement,P01,Male,32,G1,15,636.1875,67125,4162102,133.236699999999,N/A,15
Survey-Starting-Agreement,P01,Male,32,G1,16,143.307692307692,194.269230769231,4345.30335,216.51035,N/A,16
Survey-Starting-Agreement,P01,Male,32,G1,17,367.090909090909,322.045454545455,4828.2885,183.2032,N/A,17
Survey-Starting-Agreement,P01,Male,32,G1,18,455.088235294118,181.970588235294,5061.4547,283.137750000001,N/A,18
Survey-Starting-Agreement,P01,Male,32,G1,19,662.684210526316,184.368421052632,5394.54865,316.439350000001,N/A,19
Survey-Starting-Agreement,P01,Male,32,G1,20,1226.65384615385,217.730769230769,5777.6062,216.5117,N/A,20
Survey-Starting-Agreement,P01,Male,32,G1,21,1071.35,205.9,6044.08135,166.546850000001,N/A,21
Survey-Starting-Agreement,P01,Male,32,G1,22,1523.9375,217.25,6277.24665,133.23785,N/A,22
Survey-Starting-Agreement,P01,Male,32,G1,23,989.533333333333,913.7,7626.2772,249.819950000001,N/A,23
Survey-Starting-Agreement,P01,Male,32,G1,24,1011.25,811.7,7926.06065,56.1314499999999,N/A,24
Survey-Starting-Agreement,P02,Female,22,G1,1,1119.09375,550375,0,214.4067,N/A,1
Survey-Starting-Agreement,P02,Female,22,G1,2,846.785714285714,626.785714285714,281.0248,116.5876,N/A,2
Survey-Starting-Agreement,P02,Female,22,G1,3,660375,808.3125,430.92045,133.23685,N/A,3
Survey-Starting-Agreement,P02,Female,22,G1,4,580.142857142857,830.785714285714,597.46705,116.57985,N/A,4
Survey-Starting-Agreement,P02,Female,22,G1,5,729.978260869565,832.608695652174,764.01435,383.05495,N/A,5
Survey-Starting-Agreement,P02,Female,22,G1,6,202.096785956534,225.854830619905,1663.36365,532.95015,N/A,6
Survey-Starting-Agreement,P02,Female,22,G1,7,442.590909090909,241.909090909091,2229.6234,183.2016,N/A,7
Survey-Starting-Agreement,P02,Female,22,G1,8,538.166666666667,226.722222222222,2446.1338,149.89225,N/A,8
Survey-Starting-Agreement,P02,Female,22,G1,9,629,211.382352941176,2629.3359,283.1299,N/A,9
Survey-Starting-Agreement,P02,Female,22,G1,10,723,209.388888888889,2962.42985,149.89195,N/A,10
Survey-Starting-Agreement,P02,Female,22,G1,11,829.357142857143,219.142857142857,3162.2869,116.5819,N/A,11
Survey-Starting-Agreement,P02,Female,22,G1,12,986.571428571429,212.071428571429,3328.8356,116.57975,N/A,12
Survey-Starting-Agreement,P02,Female,22,G1,13,1161.36363636364,236.090909090909,3495.3796,183.202649999999,N/A,13
