,stimulli,subject,mean_fixation_start,mean_duration
121,Survey-FavoriteProduct,P04,1463.974662499999,381.3698791666645
122,Survey-FavoriteProduct,P05,1395.2669999999944,430.9950499999988
123,Survey-FavoriteProduct,P06,376582.1678211539,283.9861211538463
124,Survey-FavoriteProduct,P07,3778.9777499999955,261.2088750000047
125,Survey-FavoriteProduct,P08,3901.4533416666673,235.61914499999548
126,Instructions-Part-3,P00,99660.1310515625,153.49612968749943
127,Instructions-Part-3,P01,338144.1341294117,210.1148833333316
128,Instructions-Part-3,P02,2852.104364583327,170.46825833333244
129,Instructions-Part-3,P03,4246.470438235299,159.85863529411589
130,Instructions-Part-3,P04,2041.395002499994,160.29345749999703
131,Instructions-Part-3,P05,3477.5984981481456,162.08259259259424
132,Instructions-Part-3,P06,3496.7996519999974,150.80759999999546
133,Instructions-Part-3,P07,4155.7675934782565,180.81937173912976
134,Instructions-Part-3,P08,4487.916558064517,218.1217903225737
135,Survey-FavoriteVideoAd,P00,3457.172378846176,243.6470673077027
136,Survey-FavoriteVideoAd,P01,5754.339481944464,300.7280388888822
137,Survey-FavoriteVideoAd,P02,645891.9649407408,269.4057324074124
138,Survey-FavoriteVideoAd,P03,2440.0959750000184,268.7872024999844
139,Survey-FavoriteVideoAd,P04,4144.501457407401,258.0201722222157
140,Survey-FavoriteVideoAd,P05,2822.5492904762013,239.1355119047665
141,Survey-FavoriteVideoAd,P06,344919.3905935484,260.006299999999
142,Survey-FavoriteVideoAd,P07,1064767.8634944444,288.68192222221177
143,Survey-FavoriteVideoAd,P08,3632.8008460000087,221.3425139999995
